"id","filename","found","license","license_url","artist","credit","usage_terms","source_page"
"st-010","Sterilizer Getinge HS11k3 IMG 0569.JPG","true","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Bjoertvedt","Own work","Creative Commons Attribution-Share Alike 3.0","https://commons.wikimedia.org/wiki/File%3ASterilizer%20Getinge%20HS11k3%20IMG%200569.JPG"
"hb-007","Intensivstation (01) 2007-03-03.jpg","true","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","Norbert Kaiser","Self-photographed","Creative Commons Attribution-Share Alike 2.5","https://commons.wikimedia.org/wiki/File%3AIntensivstation%20(01)%202007-03-03.jpg"
"hb-003","Betabed Alternating Pressure Pad System.JPG","true","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","BrokenSphere","Own work","Creative Commons Attribution-Share Alike 3.0","https://commons.wikimedia.org/wiki/File%3ABetabed%20Alternating%20Pressure%20Pad%20System.JPG"
"hb-006","Hospital bed for patients.jpg","true","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","Fatimah Bello","Own work","Creative Commons Zero, Public Domain Dedication","https://commons.wikimedia.org/wiki/File%3AHospital%20bed%20for%20patients.jpg"
"df-009","Defibrillator Monitor.jpg","true","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","Ernstl","Own work","Creative Commons Attribution-Share Alike 2.5","https://commons.wikimedia.org/wiki/File%3ADefibrillator%20Monitor.jpg"
"hb-010","Patient room with hospital bed.jpg","true","Public domain","","Diane A. Reid (Photographer)","This image was released by the National Cancer Institute, an agency part of the National Institutes of Health, with the ID 3860 (image) (next).","Public domain","https://commons.wikimedia.org/wiki/File%3APatient%20room%20with%20hospital%20bed.jpg"
"st-003","Autoclaves; from a medical laboratory in Abuja, Nigeria.jpg","true","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","Frankincense Diala","Own work","Creative Commons Zero, Public Domain Dedication","https://commons.wikimedia.org/wiki/File%3AAutoclaves%3B%20from%20a%20medical%20laboratory%20in%20Abuja%2C%20Nigeria.jpg"
"st-006","Internationale Dental-Schau IDS 2009 Cologne 027.JPG","true","GPL","http://www.gnu.org/licenses/gpl.html","Sterilgutassistentin","Own work","GNU General Public License","https://commons.wikimedia.org/wiki/File%3AInternationale%20Dental-Schau%20IDS%202009%20Cologne%20027.JPG"
"st-009","Sterilisator.JPG","true","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Bernard bill5 at nl.wikipedia","eigen foto","Creative Commons Attribution-Share Alike 3.0","https://commons.wikimedia.org/wiki/File%3ASterilisator.JPG"
"st-012","Systec H-Series Autoclaves.jpg","true","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Foto Studio Wiegand","Template:Frank Wiegand","Creative Commons Attribution-Share Alike 4.0","https://commons.wikimedia.org/wiki/File%3ASystec%20H-Series%20Autoclaves.jpg"
